Dates,HON,AMZN,GOOG,CVX,COP,FB,MRO,MRK,C,PYPL,CRM,AXP,QCOM,V,GILD,EXC,F,APTV,STZ,EL,SPWR,CO,WMT,HD,NEE,CSX,MCD,SPG,FSLR,NSC,SPX Index,RF,party
10/13/1980,,,,0.02744076,0.023200456,,0.02246703,0.004800824,,,,0,,,,0.009302393,0,,,,,,0,,0,-0.008694253,0.013083484,,,-0.008766177,0.013266434,0.041,1
10/14/1980,,,,0.022536063,0.009128676,,-0.005569613,0.003187792,,,,-0.003389547,,,,-0.018692133,-0.004514222,,,,,,-0.002351283,,0,0.002850677,0,,,0.031753317,-7.57E-05,0.041,1
10/15/1980,,,,0.011080397,0.035717329,,0.005569613,0.001541946,,,,0.02675871,,,,0,-0.013614705,,,,,,0.002351283,,-0.004632938,0,0.005185837,,,0.008493355,0.012645058,0.041,1
10/16/1980,,,,-0.011080397,-0.051743984,,-0.01117042,-0.007927726,,,,-0.030159784,,,,0,-0.018411171,,,,,,-0.013715041,,0,0.023008546,-0.013015368,,,-0.005654214,-0.011131282,0.041,1
10/17/1980,,,,-0.014029932,-0.013955111,,0.01117042,0,,,,0.003401075,,,,0,-0.023527998,,,,,,-0.028497461,,-0.004669455,0,-0.005253953,,,0,-0.005308271,0.041,1
10/20/1980,,,,0.027856955,0.034522166,,-0.005569613,-0.004767474,,,,-0.020538829,,,,0,0.004718001,,,,,,-0.011828625,,0.004669455,0,0,,,-0.020024566,0.008253558,0.041,1
10/21/1980,,,,0,-0.027527589,,-0.011233161,0.007965461,,,,-0.024515008,,,,0,-0.033724506,,,,,,-0.004970189,,-0.014059195,0.002859596,-0.007933052,,,0.011482845,-0.005823424,0.041,1
10/22/1980,,,,0.002747869,0.013858512,,-0.005664256,0.001595167,,,,-0.007128884,,,,0,-0.004880223,,,,,,-0.002494389,,0.004713403,0.008449153,0.002651349,,,0.052865775,0.000606612,0.041,1
10/23/1980,,,,-0.036270562,-0.049361496,,-0.005696523,-0.035545096,,,,-0.014412067,,,,0.00938974,-0.019932722,,,,,,-0.002500626,,-0.004713403,-0.011308748,-0.030468307,,,-0.030268127,-0.018283164,0.041,1
10/24/1980,,,,0.009896324,0.021449711,,0.005696523,-0.019966797,,,,-0.014576785,,,,-0.00938974,0.034557304,,,,,,0.026681425,,0,-0.0114381,-0.005474466,,,0.008351657,0.002467424,0.041,1
10/27/1980,,,,-0.02132502,-0.031130919,,-0.005696523,0.010058505,,,,-0.03365556,,,,-0.009478744,-0.039617439,,,,,,-0.019198227,,-0.014244367,-0.068325096,0.005474466,,,-0.036684591,-0.015287614,0.041,1
10/28/1980,,,,0,0.01449444,,0,0.009908292,,,,0.003801202,,,,0,0.010094795,,,,,,-0.004982571,,0.009523809,0.021304448,-0.002733487,,,-0.029159155,0.001328488,0.041,1
10/29/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001093921,0.041,1
10/30/1980,,,,-0.011851962,-0.038744622,,0.005664256,-0.031942113,,,,-0.007855886,,,,0,0,,,,,,-0.004982571,,-0.004758186,-0.005967585,-0.009216655,,,-0.023951046,-0.012746042,0.041,1
10/31/1980,,,,0.00594354,0.029202063,,-0.011360779,0.021967599,,,,0.049946699,,,,0,0.019584605,,,,,,-0.014591454,,0.004758186,-0.003040704,0.011965168,,,-0.015257738,0.009300193,0.041,1
11/3/1980,,,,0.033508626,0.026037044,,0.033702317,0.016602708,,,,0.025874485,,,,0.018868484,-0.024569353,,,,,,-0.005081312,,0.004720558,0.020922886,0.013630379,,,-0.015516648,0.012241391,0.053,1
11/5/1980,,,,0.022663757,0.009298442,,0.011003145,0.019526837,,,,0.014470982,,,,-0.047856021,0,,,,,,0.024655337,,0.00938974,0.008822589,0.017002647,,,0,0.017590806,0.053,1
11/6/1980,,,,-0.009854515,-0.006976721,,-0.027712329,-0.016279027,,,,-0.032917436,,,,0,-0.025188244,,,,,,-0.004982571,,-0.014110299,-0.020737185,-0.033381539,,,0,-0.018598753,0.053,1
11/7/1980,,,,0.007044982,-0.002321721,,-0.005632353,0,,,,0.003716613,,,,0.009756175,-0.005079962,,,,,,-0.005007522,,-0.009523809,-0.005967585,0.005489492,,,-0.012566251,0.002092294,0.053,1
11/10/1980,,,,0.019476511,-0.033265608,,-0.005664256,-0.003247811,,,,0.011067671,,,,0.009661911,-0.015514134,,,,,,-0.002513196,,-0.009615385,0.003031486,-0.009165967,,,0,0.002319648,0.053,1
11/11/1980,,,,0.027175467,0.016771123,,0.016897417,0.003247811,,,,0.014523691,,,,0,-0.005245025,,,,,,0.005020091,,0,0.032418715,0.003676475,,,0.028082899,0.01365366,0.053,1
11/12/1980,,,,0.03942263,0.030402672,,0.011108377,0.003287019,,,,0.014360326,,,,0.009569451,-0.005213282,,,,,,-0.002506895,,0.014381008,0.034317295,0,,,0.033290659,0.025053031,0.053,1
11/13/1980,,,,0.014077761,0.01373171,,0.016451288,0.025817385,,,,0.024601324,,,,-0.009569451,0,,,,,,0.019389123,,0.014192147,0.025006296,0,,,0.026433071,0.014018232,0.053,1
11/14/1980,,,,0.001267808,0.006802893,,0.021500514,0.014240595,,,,-0.006979918,,,,-0.019418086,0.020808368,,,,,,0.037685619,,0,-0.002765379,-0.009216655,,,0.005764184,0.004823866,0.053,1
11/17/1980,,,,0.03000225,0.006742808,,0.036563973,-0.001577627,,,,-0.007028979,,,,-0.009852296,-0.020808368,,,,,,0,,0.004676338,-0.00826254,0.002773927,,,-0.02332253,0.004365231,0.053,1
11/18/1980,,,,0.024332101,0.017784776,,-0.005140017,0.015618271,,,,0.010525028,,,,0,-0.005300313,,,,,,0.036773983,,0.004669455,0.01645737,0.011932221,,,0.008817709,0.014056818,0.053,1
11/19/1980,,,,-0.014528101,0.015304666,,-0.005182512,-0.004674119,,,,0.003483869,,,,0,-0.026808661,,,,,,0.008646243,,-0.014059195,0,0.018979332,,,0.020256601,-0.004591772,0.053,1
11/20/1980,,,,0.010913885,0.002155703,,0.025585938,-0.004696069,,,,-0.024601324,,,,-0.009950331,-0.005473737,,,,,,0,,0.004713403,-0.01645737,0.032587648,,,0.005718886,0.009589997,0.053,1
11/21/1980,,,,0.008410388,-0.013073516,,-0.030779427,0.009370188,,,,-0.014360326,,,,0,-0.016477911,,,,,,0.004520803,,-0.023761598,0.00826254,0.005185837,,,-0.0143382,-0.009230505,0.053,1
11/24/1980,,,,-0.001194972,-0.04255241,,-0.031740429,-0.009370188,,,,-0.018199321,,,,-0.020202707,-0.011222613,,,,,,-0.013167046,,0,-0.002773048,0,,,-0.014567892,-0.005767444,0.053,1
11/25/1980,,,,0.001194972,0.01813351,,0,-0.009410823,,,,0.018199321,,,,0,0.011222613,,,,,,0,,0.004803828,0.002773048,-0.002589557,,,-0.00293922,0.007347677,0.053,1
11/26/1980,,,,0.100083459,0.028800339,,-0.027259328,0.00316274,,,,0.003609461,,,,-0.0102565,0.016477911,,,,,,0,,-0.014465739,-0.005553807,-0.015679764,,,0,0.006010752,0.053,1
